protocol,frequency_mhz,data_rate,payload,expected_decode,description
OOK,433.92,4800,AABBCCDD,AABBCCDD,Test pattern 1
OOK,433.92,4800,11223344,11223344,Test pattern 2
OOK,433.92,4800,DEADBEEF,DEADBEEF,Test pattern 3
OOK,433.92,4800,CAFEBABE,CAFEBABE,Test pattern 4
OOK,433.92,4800,12345678,12345678,Test pattern 5
OOK,433.92,9600,AABBCCDD,AABBCCDD,Higher data rate (9600 baud)
OOK,433.92,2400,AABBCCDD,AABBCCDD,Lower data rate (2400 baud)
OOK,433.92,4800,00000000,00000000,All zeros
OOK,433.92,4800,FFFFFFFF,FFFFFFFF,All ones
OOK,433.92,4800,55AA55AA,55AA55AA,Alternating pattern
